release_year,danceability
2006,0.5452666666666667
2008,0.57585
2010,0.51638
2012,0.6289473684210526
2014,0.63978125
2017,0.6115409836065574
2019,0.6582222222222223
2020,0.5467195121951219
2021,0.556054794520548
2022,0.6313333333333333
2023,0.6066704545454545
