release_year,loudness
2006,-4.7316666666666665
2008,-5.439500000000001
2010,-5.46902
2012,-7.274394736842106
2014,-7.238875
2017,-6.243491803278689
2019,-8.013277777777779
2020,-10.34270731707317
2021,-7.367465753424658
2022,-10.703818181818182
2023,-7.313159090909091
